"n","dist","chi_sq","normal","pctl","stud","mc_se_chi_sq","mc_se_normal","mc_se_pctl","mc_se_stud","skipped_stud"
20,"normal",0.95,0.834,0.848,0.942,0.00974679434480897,0.0166399519230075,0.0160559023415067,0.0104533248299285,0
50,"normal",0.958,0.924,0.94,0.962,0.00897061870775924,0.0118510759005248,0.0106207344378814,0.00855055553750749,0
100,"normal",0.956,0.922,0.93,0.954,0.00917213170424412,0.0119929979571415,0.0114105214604767,0.00936845771725528,0
20,"t5",0.836,0.764,0.778,0.916,0.0165592270351004,0.0189896814085966,0.0185858010319706,0.0124051602166195,0
50,"t5",0.796,0.84,0.844,0.93,0.0180213207063189,0.0163951212255354,0.0162273842624127,0.0114105214604767,0
100,"t5",0.808,0.882,0.888,0.928,0.0176145394489893,0.0144274737913468,0.014103616557465,0.0115599307956406,0
20,"t3",0.692,0.628,0.634,0.838,0.0206463556106156,0.0216155499583055,0.0215427017804174,0.016477621187538,0
50,"t3",0.558,0.664,0.674,0.846,0.0222097275985096,0.0211236360506424,0.0209630150503214,0.016142118820031,0
100,"t3",0.494,0.68,0.718,0.848,0.022359069748091,0.0208614476966485,0.0201234191925726,0.0160559023415067,0
20,"ln",0.436,0.474,0.484,0.774,0.0221767445762447,0.022330427671677,0.0223492281745925,0.0187042241218394,0
50,"ln",0.428,0.64,0.652,0.85,0.022127629787214,0.021466252583998,0.0213023942316351,0.0159687194226713,0
100,"ln",0.36,0.678,0.694,0.836,0.021466252583998,0.0208957411928843,0.0206089301032344,0.0165592270351004,0
